Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
127    -37.10186 -269.81462 739.67116 -6660.51026 -1476.15303 -372.74907       (-702.569,-232.713) (-5218.270,-37.102) (-33.913,-409.851)      948.948
128    -37.07996 -274.50980 738.79783 -6653.72420 -1474.56139 -372.41867       (-701.718,-237.430) (-5213.209,-37.080) (-34.046,-409.499)      945.567
129    -37.05806 -279.20498 737.92449 -6646.93815 -1472.96974 -372.08827       (-700.866,-242.147) (-5208.147,-37.058) (-34.179,-409.146)      942.226
130    -37.03616 -283.90015 737.05116 -6640.15209 -1471.37810 -371.75786       (-700.015,-246.864) (-5203.086,-37.036) (-34.312,-408.794)      938.925
131    -37.01426 -288.59533 736.17782 -6633.36603 -1469.78645 -371.42746       (-699.164,-251.581) (-5198.025,-37.014) (-34.445,-408.442)      935.664
132    -36.99236 -293.29050 735.30449 -6626.57998 -1468.19480 -371.09706       (-698.312,-256.298) (-5192.963,-36.992) (-34.578,-408.089)      932.444
133    -36.97046 -297.98568 734.43115 -6619.79392 -1466.60316 -370.76665       (-697.461,-261.015) (-5187.902,-36.970) (-34.711,-407.737)      929.265
134    -36.94856 -302.68086 733.55781 -6613.00787 -1465.01151 -370.43625       (-696.609,-265.732) (-5182.841,-36.949) (-34.844,-407.385)      926.128
135    -36.92666 -307.37603 732.68448 -6606.22181 -1463.41986 -370.10585       (-695.758,-270.449) (-5177.780,-36.927) (-34.978,-407.033)      923.034
136    -36.90476 -312.07121 731.81114 -6599.43575 -1461.82822 -369.77545       (-694.906,-275.166) (-5172.718,-36.905) (-35.111,-406.680)      919.981
137    -36.88286 -316.76639 730.93781 -6592.64970 -1460.23657 -369.44504       (-694.055,-279.884) (-5167.657,-36.883) (-35.244,-406.328)      916.972
138    -36.86096 -321.46156 730.06447 -6585.86364 -1458.64492 -369.11464       (-693.204,-284.601) (-5162.596,-36.861) (-35.377,-405.976)      914.006
139    -36.83907 -326.15674 729.19114 -6579.07759 -1457.05328 -368.78424       (-692.352,-289.318) (-5157.534,-36.839) (-35.510,-405.623)      911.084
140    -36.81717 -330.85192 728.31780 -6572.29153 -1455.46163 -368.45384       (-691.501,-294.035) (-5152.473,-36.817) (-35.643,-405.271)      908.206
141    -36.79527 -335.54709 727.44447 -6565.50547 -1453.86999 -368.12343       (-690.649,-298.752) (-5147.412,-36.795) (-35.776,-404.919)      905.373
142    -36.77337 -340.24227 726.57113 -6558.71942 -1452.27834 -367.79303       (-689.798,-303.469) (-5142.351,-36.773) (-35.909,-404.566)      902.585
143    -36.75147 -344.93745 725.69779 -6551.93336 -1450.68669 -367.46263       (-688.946,-308.186) (-5137.289,-36.751) (-36.043,-404.214)      899.843
144    -36.72957 -349.63262 724.82446 -6545.14731 -1449.09505 -367.13223       (-688.095,-312.903) (-5132.228,-36.730) (-36.176,-403.862)      897.147
145    -36.70767 -354.32780 723.95112 -6538.36125 -1447.50340 -366.80182       (-687.243,-317.620) (-5127.167,-36.708) (-36.309,-403.509)      894.496
146    -36.68577 -359.02297 723.07779 -6531.57519 -1445.91175 -366.47142       (-686.392,-322.337) (-5122.105,-36.686) (-36.442,-403.157)      891.893
147    -36.66387 -363.71815 722.20445 -6524.78914 -1444.32011 -366.14102       (-685.541,-327.054) (-5117.044,-36.664) (-36.575,-402.805)      889.337
148    -36.64197 -368.41333 721.33112 -6518.00308 -1442.72846 -365.81061       (-684.689,-331.771) (-5111.983,-36.642) (-36.708,-402.453)      886.828
149    -36.62007 -373.10850 720.45778 -6511.21703 -1441.13681 -365.48021       (-683.838,-336.488) (-5106.922,-36.620) (-36.841,-402.100)      884.368
150    -36.59817 -377.80368 719.58445 -6504.43097 -1439.54517 -365.14981       (-682.986,-341.206) (-5101.860,-36.598) (-36.974,-401.748)      881.955
151    -36.57627 -382.49886 718.71111 -6497.64491 -1437.95352 -364.81941       (-682.135,-345.923) (-5096.799,-36.576) (-37.108,-401.396)      879.592
152    -36.55437 -387.19403 717.83777 -6490.85886 -1436.36188 -364.48900       (-681.283,-350.640) (-5091.738,-36.554) (-37.241,-401.043)      877.278
153    -36.53247 -391.88921 716.96444 -6484.07280 -1434.77023 -364.15860       (-680.432,-355.357) (-5086.676,-36.532) (-37.374,-400.691)      875.013
154    -36.51058 -396.58439 716.09110 -6477.28675 -1433.17858 -363.82820       (-679.581,-360.074) (-5081.615,-36.511) (-37.507,-400.339)      872.798
155    -36.48868 -401.27956 715.21777 -6470.50069 -1431.58694 -363.49780       (-678.729,-364.791) (-5076.554,-36.489) (-37.640,-399.986)      870.634
156    -36.46678 -405.97474 714.34443 -6463.71463 -1429.99529 -363.16739       (-677.878,-369.508) (-5071.493,-36.467) (-37.773,-399.634)      868.52
157    -36.44488 -410.66992 713.47110 -6456.92858 -1428.40364 -362.83699       (-677.026,-374.225) (-5066.431,-36.445) (-37.906,-399.282)      866.458
158    -36.42298 -415.36509 712.59776 -6450.14252 -1426.81200 -362.50659       (-676.175,-378.942) (-5061.370,-36.423) (-38.039,-398.930)      864.447
159    -36.40108 -420.06027 711.72443 -6443.35647 -1425.22035 -362.17618       (-675.323,-383.659) (-5056.309,-36.401) (-38.173,-398.577)      862.487
160    -36.37918 -424.75544 710.85109 -6436.57041 -1423.62871 -361.84578       (-674.472,-388.376) (-5051.247,-36.379) (-38.306,-398.225)      860.58
