2BOUNDS_2018-03-07.14_40_56.526_.txt     Output is probe cell, reduced cell, NCDist distance between
160    -39.12975 -22.84805   4.90302 -34.48561  -2.49712 -49.77963       (-2.497,-15.539) (-31.988,-2.406) (-31.821,-52.277)      16.0299
161    -39.08577 -22.86859   4.88858 -34.45062  -2.52666 -49.77517       (-2.527,-15.618) (-31.924,-2.362) (-31.835,-52.302)      16.0682
162    -39.04179 -22.88914   4.87414 -34.41564  -2.55620 -49.77070       (-2.556,-15.697) (-31.859,-2.318) (-31.850,-52.327)      16.1074
163    -38.99780 -22.90968   4.85970 -34.38065  -2.58574 -49.76624       (-2.586,-15.776) (-31.795,-2.274) (-31.864,-52.352)      16.1473
164    -38.95382 -22.93022   4.84526 -34.34567  -2.61528 -49.76178       (-2.615,-15.855) (-31.730,-2.230) (-31.879,-52.377)      16.188
165    -38.90984 -22.95076   4.83081 -34.31068  -2.64482 -49.75731       (-2.645,-15.934) (-31.666,-2.186) (-31.893,-52.402)      16.2294
166    -38.86586 -22.97131   4.81637 -34.27570  -2.67435 -49.75285       (-2.674,-16.013) (-31.601,-2.142) (-31.907,-52.427)      16.2716
167    -38.82188 -22.99185   4.80193 -34.24072  -2.70389 -49.74839       (-2.704,-16.092) (-31.537,-2.098) (-31.922,-52.452)      16.3146
168    -38.77790 -23.01239   4.78749 -34.20573  -2.73343 -49.74392       (-2.733,-16.171) (-31.472,-2.054) (-31.936,-52.477)      16.3583
169    -38.73392 -23.03293   4.77305 -34.17075  -2.76297 -49.73946       (-2.763,-16.250) (-31.408,-2.010) (-31.951,-52.502)      16.4027
170    -38.68993 -23.05347   4.75861 -34.13576  -2.79251 -49.73500       (-2.793,-16.329) (-31.343,-1.966) (-31.965,-52.528)      16.4479
171    -38.64595 -23.07402   4.74416 -34.10078  -2.82205 -49.73054       (-2.822,-16.408) (-31.279,-1.922) (-31.980,-52.553)      16.4938
172    -38.60197 -23.09456   4.72972 -34.06579  -2.85159 -49.72607       (-2.852,-16.487) (-31.214,-1.878) (-31.994,-52.578)      16.5404
173    -38.55799 -23.11510   4.71528 -34.03081  -2.88113 -49.72161       (-2.881,-16.566) (-31.150,-1.834) (-32.009,-52.603)      16.5877
174    -38.51401 -23.13564   4.70084 -33.99583  -2.91067 -49.71715       (-2.911,-16.645) (-31.085,-1.790) (-32.023,-52.628)      16.6358
175    -38.47003 -23.15619   4.68640 -33.96084  -2.94021 -49.71268       (-2.940,-16.724) (-31.021,-1.746) (-32.037,-52.653)      16.6845
176    -38.42604 -23.17673   4.67195 -33.92586  -2.96975 -49.70822       (-2.970,-16.803) (-30.956,-1.702) (-32.052,-52.678)      16.7339
177    -38.38206 -23.19727   4.65751 -33.89087  -2.99929 -49.70376       (-2.999,-16.882) (-30.892,-1.658) (-32.066,-52.703)      16.7841
178    -38.33808 -23.21781   4.64307 -33.85589  -3.02883 -49.69930       (-3.029,-16.961) (-30.827,-1.614) (-32.081,-52.728)      16.8349
179    -38.29410 -23.23836   4.62863 -33.82090  -3.05837 -49.69483       (-3.058,-17.039) (-30.763,-1.570) (-32.095,-52.753)      16.8864
180    -38.25012 -23.25890   4.61419 -33.78592  -3.08791 -49.69037       (-3.088,-17.118) (-30.698,-1.526) (-32.110,-52.778)      16.9386
